borough,neighborhood,bin,numfloors,house_number,street_name,full_street_name,zipcode,full_address,streetview_image_usable_flag,streetview_stairs_detected,streetview_gate_detected,streetview_ramp_or_barrier_detected,streetview_amr_can_reach_door_flag,car_ai_penalty_s,car_streetview_stairs_present_R,car_streetview_gate_present_R,car_streetview_ramp_or_barrier_present_R,car_streetview_access_barrier_score_R,amr_streetview_stairs_present_R,amr_streetview_gate_present_R,amr_streetview_ramp_or_barrier_present_R,amr_streetview_access_barrier_score_R,streetview_access_barrier_score_R
Manhattan,Gramercy,1018175,6.0,139.0,27,E  27 ST,10016.0,139 E  27 ST,True,False,False,True,True,10,0,0,1,0.3333333333333333,0,0,1,0.3333333333333333,0.3333333333333333
Manhattan,Chelsea-Hudson Yards,1013430,5.0,305.0,22,W  22 ST,10011.0,305 W  22 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Upper West Side-Lincoln Square,1029965,4.0,114.0,73,W  73 ST,10023.0,114 W  73 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Chelsea-Hudson Yards,1014551,3.0,135.0,15,W  15 ST,10011.0,135 W  15 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Midtown-Times Square,1024905,16.0,202.0,58,W  58 ST,10019.0,202 W  58 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Hell's Kitchen,1027008,7.0,533.0,48,W  48 ST,10019.0,533 W  48 ST,True,True,False,True,True,30,1,0,1,0.6666666666666666,1,0,1,0.6666666666666666,0.6666666666666666
Manhattan,Chelsea-Hudson Yards,1014538,6.0,150.0,15,W  15 ST,10011.0,150 W  15 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Upper West Side (Central),1030995,4.0,23.0,RIVERSIDE,RIVERSIDE DR,10023.0,23 RIVERSIDE DR,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Upper West Side (Central),1031715,3.0,29.0,95,W  95 ST,10025.0,29 W  95 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Upper West Side (Central),1031441,4.5,66.0,87,W  87 ST,10024.0,66 W  87 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Gramercy,1020484,3.0,341.0,18,E  18 ST,10003.0,341 E  18 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Chelsea-Hudson Yards,1014192,3.0,269.0,25,W  25 ST,10001.0,269 W  25 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Upper West Side (Central),1031224,3.0,,,,,,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Chelsea-Hudson Yards,1012330,5.0,505.0,22,W  22 ST,10011.0,505 W  22 ST,True,True,False,False,False,20,1,0,0,0.3333333333333333,1,0,0,0.3333333333333333,0.3333333333333333
Manhattan,Midtown-Times Square,1015960,3.0,,,,,,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Chelsea-Hudson Yards,1013982,1.0,156.0,7,7 AVE,10011.0,156 7 AVE,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Upper West Side (Central),1031193,4.0,38.0,83,W  83 ST,10024.0,38 W  83 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Midtown-Times Square,1015228,4.0,128.0,36,W  36 ST,10018.0,128 W  36 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Midtown-Times Square,1015224,18.0,,,,,,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Hell's Kitchen,1026582,5.0,692.0,10,10 AVE,10019.0,692 10 AVE,True,True,False,False,False,20,1,0,0,0.3333333333333333,1,0,0,0.3333333333333333,0.3333333333333333
Manhattan,Midtown South-Flatiron-Union Square,1014262,12.0,205.0,28,W  28 ST,10001.0,205 W  28 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Hell's Kitchen,1025418,6.0,330.0,55,W  55 ST,10019.0,330 W  55 ST,True,False,True,False,True,15,0,1,0,0.3333333333333333,0,1,0,0.3333333333333333,0.3333333333333333
Manhattan,Midtown-Times Square,1024839,13.0,1701.0,BROADWAY,BROADWAY,10019.0,1701 BROADWAY,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Gramercy,1019560,8.0,225.0,17,E  17 ST,10003.0,225 E  17 ST,True,True,False,False,False,20,1,0,0,0.3333333333333333,1,0,0,0.3333333333333333,0.3333333333333333
Manhattan,Chelsea-Hudson Yards,1014080,3.0,222.0,22,W  22 ST,10011.0,222 W  22 ST,True,False,True,False,False,15,0,1,0,0.3333333333333333,0,1,0,0.3333333333333333,0.3333333333333333
Manhattan,Upper West Side-Lincoln Square,1030984,5.0,311.0,72,W  72 ST,10023.0,311 W  72 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Midtown South-Flatiron-Union Square,1016894,13.0,14.0,28,E  28 ST,10016.0,14 E  28 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Hell's Kitchen,1024988,3.0,341.0,44,W  44 ST,10036.0,341 W  44 ST,True,False,True,False,False,15,0,1,0,0.3333333333333333,0,1,0,0.3333333333333333,0.3333333333333333
Manhattan,Upper West Side (Central),1031607,29.0,300.0,CENTRAL,CENTRAL PARK W,10024.0,300 CENTRAL PARK W,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Upper West Side (Central),1031672,4.0,33.0,94,W  94 ST,10025.0,33 W  94 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Midtown-Times Square,1023387,57.0,154.0,55,W  55 ST,10019.0,154 W  55 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Hell's Kitchen,1026999,5.0,504.0,48,W  48 ST,10036.0,504 W  48 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Upper West Side-Lincoln Square,1030525,4.0,250.0,73,W  73 ST,10023.0,250 W  73 ST,True,True,False,False,False,20,1,0,0,0.3333333333333333,1,0,0,0.3333333333333333,0.3333333333333333
Manhattan,Upper West Side (Central),1031622,4.0,58.0,91,W  91 ST,10024.0,58 W  91 ST,True,False,False,True,True,10,0,0,1,0.3333333333333333,0,0,1,0.3333333333333333,0.3333333333333333
Manhattan,Midtown South-Flatiron-Union Square,1015731,6.0,256.0,5,5 AVE,10001.0,256 5 AVE,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Hell's Kitchen,1026493,4.0,400.0,47,W  47 ST,10036.0,400 W  47 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Upper West Side (Central),1031065,4.0,349.0,END,W  END AVE,10024.0,349 W  END AVE,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Midtown-Times Square,1015996,5.0,35.0,38,W  38 ST,10018.0,35 W  38 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Upper West Side (Central),1030905,3.0,221.0,78,W  78 ST,10024.0,221 W  78 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Chelsea-Hudson Yards,1014005,3.0,196.0,8,8 AVE,10011.0,196 8 AVE,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Gramercy,1019540,6.0,3.0,RUTHERFORD,RUTHERFORD PL,10003.0,3 RUTHERFORD PL,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Midtown South-Flatiron-Union Square,1017009,9.0,7.0,32,E  32 ST,10016.0,7 E  32 ST,True,True,False,False,False,20,1,0,0,0.3333333333333333,1,0,0,0.3333333333333333,0.3333333333333333
Manhattan,Midtown-Times Square,1014439,7.0,247.0,36,W  36 ST,10018.0,247 W  36 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Chelsea-Hudson Yards,1013882,3.0,207.0,18,W  18 ST,10011.0,207 W  18 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Upper West Side (Central),1031425,4.0,50.0,87,W  87 ST,10024.0,50 W  87 ST,True,True,False,False,False,20,1,0,0,0.3333333333333333,1,0,0,0.3333333333333333,0.3333333333333333
Manhattan,Gramercy,1020411,6.0,332.0,15,E  15 ST,10003.0,332 E  15 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Hell's Kitchen,1027137,4.0,630.0,52,W  52 ST,10019.0,630 W  52 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Upper West Side (Central),1028803,5.0,,,,,,True,True,False,False,False,20,1,0,0,0.3333333333333333,1,0,0,0.3333333333333333,0.3333333333333333
Manhattan,Gramercy,1020598,6.0,310.0,24,E  24 ST,10010.0,310 E  24 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Upper West Side-Lincoln Square,1028477,4.0,64.0,69,W  69 ST,10023.0,64 W  69 ST,True,True,True,True,False,45,1,1,1,1.0,1,1,1,1.0,1.0
Manhattan,Midtown South-Flatiron-Union Square,1015784,5.0,3.0,30,W  30 ST,10001.0,3 W  30 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Midtown South-Flatiron-Union Square,1015556,3.0,686.0,OF THE AMERICAS,AVE OF THE AMERICAS,10010.0,686 AVE OF THE AMERICAS,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Hell's Kitchen,1026914,7.0,515.0,42,W  42 ST,10036.0,515 W  42 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Upper West Side (Central),1030850,5.0,255.0,75,W  75 ST,10023.0,255 W  75 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Upper West Side-Lincoln Square,1028259,4.0,70.0,68,W  68 ST,10023.0,70 W  68 ST,True,False,True,False,True,15,0,1,0,0.3333333333333333,0,1,0,0.3333333333333333,0.3333333333333333
Manhattan,Midtown South-Flatiron-Union Square,1014230,6.0,241.0,26,W  26 ST,10001.0,241 W  26 ST,True,True,True,True,False,45,1,1,1,1.0,1,1,1,1.0,1.0
Manhattan,Upper West Side-Lincoln Square,1027472,42.0,1.0,LINCOLN,LINCOLN PLZ,10023.0,1 LINCOLN PLZ,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Chelsea-Hudson Yards,1013059,5.0,330.0,17,W  17 ST,10011.0,330 W  17 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Upper West Side (Central),1028742,5.0,56.0,75,W  75 ST,10023.0,56 W  75 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Hell's Kitchen,1027144,5.0,723.0,11,11 AVE,10019.0,723 11 AVE,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Gramercy,1020469,5.0,309.0,18,E  18 ST,10003.0,309 E  18 ST,True,True,False,True,False,30,1,0,1,0.6666666666666666,1,0,1,0.6666666666666666,0.6666666666666666
Manhattan,Gramercy,1017922,4.0,,,,,,False,False,False,False,False,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Chelsea-Hudson Yards,1014088,4.0,240.0,22,W  22 ST,10011.0,240 W  22 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Gramercy,1019650,4.0,287.0,3,3 AVE,10010.0,287 3 AVE,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Upper West Side-Lincoln Square,1029767,4.0,116.0,71,W  71 ST,10023.0,116 W  71 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Chelsea-Hudson Yards,1013344,4.0,,,,,,True,True,False,False,False,20,1,0,0,0.3333333333333333,1,0,0,0.3333333333333333,0.3333333333333333
Manhattan,Chelsea-Hudson Yards,1013095,3.0,359.0,18,W  18 ST,10011.0,359 W  18 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Hell's Kitchen,1027023,2.0,547.0,49,W  49 ST,10019.0,547 W  49 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Hell's Kitchen,1026416,5.0,,,,,,False,False,False,False,False,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Hell's Kitchen,1025070,5.0,344.0,47,W  47 ST,10036.0,344 W  47 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Upper West Side (Central),1031115,5.0,315.0,78,W  78 ST,10024.0,315 W  78 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Chelsea-Hudson Yards,1014161,5.0,230.0,24,W  24 ST,10011.0,230 W  24 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Chelsea-Hudson Yards,1014107,5.0,275.0,22,W  22 ST,10011.0,275 W  22 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Hell's Kitchen,1026774,5.0,444.0,54,W  54 ST,10019.0,444 W  54 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Chelsea-Hudson Yards,1012877,1.0,450.0,36,W  36 ST,10018.0,450 W  36 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Upper West Side (Central),1031729,17.0,,,,,,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Upper West Side (Central),1028738,4.0,37.0,74,W  74 ST,10023.0,37 W  74 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Chelsea-Hudson Yards,1013046,5.0,,,,,,True,True,False,False,False,20,1,0,0,0.3333333333333333,1,0,0,0.3333333333333333,0.3333333333333333
Manhattan,Gramercy,1018165,4.0,129.0,27,E  27 ST,10016.0,129 E  27 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Midtown South-Flatiron-Union Square,1015849,13.0,,,,,,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Upper West Side-Lincoln Square,1030941,7.0,340.0,71,W  71 ST,10023.0,340 W  71 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Gramercy,1019564,4.0,,,,,,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Hell's Kitchen,1027089,4.0,647.0,42,W  42 ST,10036.0,647 W  42 ST,True,False,True,False,True,15,0,1,0,0.3333333333333333,0,1,0,0.3333333333333333,0.3333333333333333
Manhattan,Midtown South-Flatiron-Union Square,1015486,5.0,48.0,20,W  20 ST,10011.0,48 W  20 ST,True,False,False,True,True,10,0,0,1,0.3333333333333333,0,0,1,0.3333333333333333,0.3333333333333333
Manhattan,Chelsea-Hudson Yards,1012799,6.0,231.0,9,9 AVE,10001.0,231 9 AVE,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Chelsea-Hudson Yards,1014075,14.0,188.0,7,7 AVE,10011.0,188 7 AVE,True,False,False,True,True,10,0,0,1,0.3333333333333333,0,0,1,0.3333333333333333,0.3333333333333333
Manhattan,Gramercy,1020550,4.0,337.0,21,E  21 ST,10010.0,337 E  21 ST,True,True,False,False,False,20,1,0,0,0.3333333333333333,1,0,0,0.3333333333333333,0.3333333333333333
Manhattan,Hell's Kitchen,1025219,6.0,362.0,52,W  52 ST,10019.0,362 W  52 ST,True,True,False,False,False,20,1,0,0,0.3333333333333333,1,0,0,0.3333333333333333,0.3333333333333333
Manhattan,Upper West Side-Lincoln Square,1030965,15.0,243.0,END,W  END AVE,10023.0,243 W  END AVE,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Midtown South-Flatiron-Union Square,1016071,6.5,7.0,15,E  15 ST,10003.0,7 E  15 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Chelsea-Hudson Yards,1013849,12.0,232.0,18,W  18 ST,10011.0,232 W  18 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Upper West Side-Lincoln Square,1028247,5.0,,,,,,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Upper West Side-Lincoln Square,1028532,4.0,57.0,69,W  69 ST,10023.0,57 W  69 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Chelsea-Hudson Yards,1013127,4.0,142.0,9,9 AVE,10011.0,142 9 AVE,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Upper West Side-Lincoln Square,1028453,9.0,25.0,68,W  68 ST,10023.0,25 W  68 ST,True,False,True,False,True,15,0,1,0,0.3333333333333333,0,1,0,0.3333333333333333,0.3333333333333333
Manhattan,Upper West Side (Central),1031151,4.0,,,,,,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Upper West Side-Lincoln Square,1030544,,2101.0,BROADWAY,BROADWAY,10023.0,2101 BROADWAY,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Midtown South-Flatiron-Union Square,1016243,4.0,924.0,BROADWAY,BROADWAY,10010.0,924 BROADWAY,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Midtown-Times Square,1014500,12.0,,,,,,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Midtown South-Flatiron-Union Square,1015049,12.0,114.0,27,W  27 ST,10001.0,114 W  27 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Hell's Kitchen,1025143,4.0,797.0,8,8 AVE,10019.0,797 8 AVE,True,False,False,True,True,10,0,0,1,0.3333333333333333,0,0,1,0.3333333333333333,0.3333333333333333
Manhattan,Midtown South-Flatiron-Union Square,1015447,10.0,15.0,18,W  18 ST,10011.0,15 W  18 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Upper West Side (Central),1030119,4.0,143.0,75,W  75 ST,10023.0,143 W  75 ST,True,True,True,False,False,35,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.6666666666666666
Manhattan,Upper West Side (Central),1031408,15.0,261.0,CENTRAL,CENTRAL PARK W,10024.0,261 CENTRAL PARK W,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Midtown South-Flatiron-Union Square,1016248,5.0,29.0,21,E  21 ST,10010.0,29 E  21 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Gramercy,1017901,5.0,118.0,19,E  19 ST,10003.0,118 E  19 ST,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Midtown South-Flatiron-Union Square,1015561,6.0,172.0,5,5 AVE,10010.0,172 5 AVE,True,False,False,True,True,10,0,0,1,0.3333333333333333,0,0,1,0.3333333333333333,0.3333333333333333
Manhattan,Midtown South-Flatiron-Union Square,1017103,5.0,,,,,,True,False,False,False,True,0,0,0,0,0.0,0,0,0,0.0,0.0
Manhattan,Gramercy,1018163,5.0,115.0,27,E  27 ST,10016.0,115 E  27 ST,True,False,True,False,False,15,0,1,0,0.3333333333333333,0,1,0,0.3333333333333333,0.3333333333333333
